muon1: pt=231.277, eta=0.496237, phi=-2.22082, m=0.1
muon2: pt=222.408, eta=-0.198471, phi=0.942319, m=0.1
muon1: pt=281.327, eta=-0.489914, phi=1.12498, m=0.1
muon2: pt=238.38, eta=0.128715, phi=-2.07527, m=0.1
muon1: pt=243.862, eta=0.363307, phi=1.14333, m=0.1
muon2: pt=219.52, eta=-0.0366446, phi=-2.15279, m=0.1
muon1: pt=249.809, eta=0.0420153, phi=-2.20356, m=0.1
muon2: pt=259.533, eta=-0.637659, phi=0.938402, m=0.1
muon1: pt=252.531, eta=-0.378254, phi=-2.18576, m=0.1
muon2: pt=241.758, eta=0.684516, phi=0.945008, m=0.1
muon1: pt=228.253, eta=0.0117822, phi=-0.534862, m=0.1
muon2: pt=225.171, eta=0.461848, phi=2.59199, m=0.1
muon1: pt=209.493, eta=0.285565, phi=-0.944246, m=0.1
muon2: pt=191.005, eta=-0.702511, phi=2.19321, m=0.1
muon1: pt=220.583, eta=-0.203312, phi=-0.0524767, m=0.1
muon2: pt=260.17, eta=0.398654, phi=3.08507, m=0.1
muon1: pt=246.801, eta=-0.377418, phi=-2.32268, m=0.1
muon2: pt=217.711, eta=-0.0701136, phi=0.708242, m=0.1
muon1: pt=245.675, eta=0.0173129, phi=-0.731129, m=0.1
muon2: pt=226.7, eta=0.5944, phi=2.39265, m=0.1
muon1: pt=256.699, eta=0.37144, phi=3.03314, m=0.1
muon2: pt=200.23, eta=-0.465534, phi=-0.070545, m=0.1
muon1: pt=168.294, eta=0.0671842, phi=1.2427, m=0.1
muon2: pt=161.911, eta=0.51124, phi=-2.12254, m=0.1
muon1: pt=253.339, eta=0.450621, phi=1.80956, m=0.1
muon2: pt=235.675, eta=0.873087, phi=-1.27751, m=0.1
muon1: pt=225.479, eta=0.175616, phi=1.3751, m=0.1
muon2: pt=176.881, eta=0.552102, phi=-1.70588, m=0.1
muon1: pt=314.979, eta=0.336925, phi=1.22559, m=0.1
muon2: pt=232.319, eta=-0.0557839, phi=-1.97524, m=0.1
muon1: pt=276.312, eta=-0.67419, phi=0.414421, m=0.1
muon2: pt=208.468, eta=-0.376059, phi=-2.72435, m=0.1
muon1: pt=280.823, eta=0.206983, phi=2.22291, m=0.1
muon2: pt=238.191, eta=0.156916, phi=-0.824313, m=0.1
muon1: pt=258.001, eta=-0.35803, phi=-1.81633, m=0.1
muon2: pt=237.273, eta=-0.187987, phi=1.39666, m=0.1
muon1: pt=217.78, eta=0.84531, phi=-1.43986, m=0.1
muon2: pt=189.033, eta=-0.225291, phi=1.6562, m=0.1
muon1: pt=210.868, eta=-0.543686, phi=0.487575, m=0.1
muon2: pt=214.818, eta=0.502898, phi=-2.68848, m=0.1
muon1: pt=236.172, eta=0.652789, phi=1.1658, m=0.1
muon2: pt=272.113, eta=0.116426, phi=-2.01489, m=0.1
muon1: pt=220.83, eta=-0.225674, phi=-3.10259, m=0.1
muon2: pt=198.308, eta=0.485254, phi=0.0987107, m=0.1
muon1: pt=224.291, eta=-0.185785, phi=0.729795, m=0.1
muon2: pt=205.655, eta=0.997759, phi=-2.39305, m=0.1
muon1: pt=253.829, eta=-0.429392, phi=2.97866, m=0.1
muon2: pt=214.256, eta=0.0793885, phi=-0.185449, m=0.1
muon1: pt=242.801, eta=0.44802, phi=2.89272, m=0.1
muon2: pt=227.575, eta=-0.100262, phi=-0.185569, m=0.1
muon1: pt=252.235, eta=0.093055, phi=-2.27279, m=0.1
muon2: pt=199.316, eta=-0.693967, phi=1.02192, m=0.1
muon1: pt=233.801, eta=-0.120648, phi=2.67877, m=0.1
muon2: pt=185.87, eta=-0.120146, phi=-0.465896, m=0.1
muon1: pt=246.453, eta=0.0267727, phi=-0.410554, m=0.1
muon2: pt=219.801, eta=0.298953, phi=2.43867, m=0.1
muon1: pt=245.566, eta=0.225982, phi=-0.977779, m=0.1
muon2: pt=228.142, eta=-0.481706, phi=2.01736, m=0.1
muon1: pt=269.061, eta=-0.0968315, phi=0.99391, m=0.1
muon2: pt=242.322, eta=0.319096, phi=-2.21141, m=0.1
muon1: pt=230.501, eta=0.0706437, phi=1.22783, m=0.1
muon2: pt=195.929, eta=0.381004, phi=-1.85893, m=0.1
muon1: pt=225.456, eta=0.898158, phi=2.04556, m=0.1
muon2: pt=206.676, eta=0.428011, phi=-1.3475, m=0.1
muon1: pt=271.027, eta=0.206423, phi=1.14454, m=0.1
muon2: pt=255.249, eta=0.583741, phi=-1.97997, m=0.1
muon1: pt=275.441, eta=-0.61577, phi=-3.03531, m=0.1
muon2: pt=235.162, eta=0.310966, phi=0.142676, m=0.1
muon1: pt=201.988, eta=-0.815513, phi=0.555862, m=0.1
muon2: pt=205.466, eta=0.347136, phi=-2.69671, m=0.1
muon1: pt=251.48, eta=0.220631, phi=-1.81784, m=0.1
muon2: pt=229.066, eta=0.0190761, phi=1.34501, m=0.1
muon1: pt=258.325, eta=-0.0861263, phi=-1.15827, m=0.1
muon2: pt=209.719, eta=0.254494, phi=1.87093, m=0.1
muon1: pt=244.864, eta=-0.0153806, phi=-0.822089, m=0.1
muon2: pt=229.237, eta=0.693487, phi=2.31722, m=0.1
muon1: pt=237.747, eta=-0.153561, phi=2.81789, m=0.1
muon2: pt=224.353, eta=0.619484, phi=-0.334501, m=0.1
muon1: pt=284.955, eta=-0.488489, phi=1.42688, m=0.1
muon2: pt=254.716, eta=-0.563561, phi=-1.85725, m=0.1
muon1: pt=230.51, eta=0.393061, phi=-0.972833, m=0.1
muon2: pt=144.182, eta=-0.956717, phi=2.13998, m=0.1
muon1: pt=287.239, eta=0.242474, phi=-1.01483, m=0.1
muon2: pt=252.173, eta=-0.192232, phi=2.00488, m=0.1
muon1: pt=289.372, eta=0.0820008, phi=-2.30599, m=0.1
muon2: pt=271.493, eta=0.480778, phi=0.861001, m=0.1
muon1: pt=274.984, eta=0.524112, phi=1.86475, m=0.1
muon2: pt=245.778, eta=0.0419631, phi=-1.27363, m=0.1
muon1: pt=225.411, eta=-0.126459, phi=-0.55294, m=0.1
muon2: pt=227.602, eta=-0.836967, phi=2.59934, m=0.1
muon1: pt=293.131, eta=-0.169656, phi=2.65953, m=0.1
muon2: pt=229.179, eta=-0.342746, phi=-0.333344, m=0.1
muon1: pt=236.36, eta=0.421681, phi=-3.04539, m=0.1
muon2: pt=197.347, eta=-0.439855, phi=0.157415, m=0.1
muon1: pt=247.528, eta=0.0783827, phi=1.45622, m=0.1
muon2: pt=201.267, eta=1.14188, phi=-1.66336, m=0.1
muon1: pt=242.08, eta=-0.376919, phi=-0.296933, m=0.1
